Date,Open,High,Low,Close,Change_Pct,Volume
2012-03-13,21091.36,21227.98,20988.34,21227.98,0.65,0
2012-03-14,21091.36,21092.3,20908.34,21072.93,-0.73,0
2012-03-15,21072.93,21072.93,20658.28,20658.28,-1.97,0
2012-03-19,20658.28,21060.21,20406.46,21060.21,1.95,0
2012-03-20,20658.28,21006.3,20544.51,21006.3,-0.26,0
2012-03-21,21006.3,21072.95,21002.38,21067.9,0.29,0
2012-03-22,21067.9,21400.05,21037.45,21261.29,0.92,0
2012-03-23,21261.29,21282.79,21026.43,21191.22,-0.33,0
2012-03-26,21076.4,21205.98,20995.63,21000.15,-0.9,0
2012-03-27,20999.81,21001.2,20851.76,20916.03,-0.4,0
2012-03-28,20916.03,20939.73,20747.33,20899.97,-0.08,0
2012-03-29,20901.36,20939.06,20656.47,20756.19,-0.69,0
2012-03-30,20756.19,20776.47,20615.38,20652.47,-0.5,0
2012-04-02,20652.47,20652.47,20567.81,20650.95,-0.01,0
2012-04-03,20649.56,20849.95,20649.47,20849.95,0.96,0
2012-04-04,20854.26,20955.0,20849.95,20934.47,0.41,0
2012-04-05,20930.16,20952.2,20797.91,20941.93,0.04,0
