"Date","Price","Open","High","Low","Vol.","Change %"
"01/11/2024","2.09","2.09","2.09","2.09","584.24K","0.00%"
"31/10/2024","2.09","1.90","2.09","1.95","576.30K","10.00%"
"30/10/2024","1.90","1.90","1.90","1.90","66.83K","0.00%"
"29/10/2024","1.90","1.90","1.90","1.90","113.59K","0.00%"
"28/10/2024","1.90","1.90","1.90","1.90","348.45K","0.00%"
"25/10/2024","1.90","1.90","1.90","1.90","3.22M","0.00%"
"24/10/2024","1.90","1.90","1.90","1.90","597.15K","0.00%"
"23/10/2024","1.90","1.85","1.90","1.90","2.17M","2.70%"
"22/10/2024","1.85","1.80","1.85","1.85","364.74K","2.78%"
"21/10/2024","1.80","1.80","1.80","1.80","353.22K","0.00%"
"18/10/2024","1.80","1.80","1.80","1.80","1.11M","0.00%"
"17/10/2024","1.80","1.75","1.80","1.80","1.52M","2.86%"
"16/10/2024","1.75","1.75","1.75","1.75","328.90K","0.00%"
"15/10/2024","1.75","1.75","1.75","1.75","404.55K","0.00%"
"14/10/2024","1.75","1.70","1.75","1.75","537.03K","2.94%"
"11/10/2024","1.70","1.58","1.70","1.70","425.74K","7.59%"
"10/10/2024","1.58","1.75","1.58","1.58","254.85K","-9.71%"
"09/10/2024","1.75","1.75","1.75","1.70","2.46M","0.00%"
"08/10/2024","1.75","1.74","1.89","1.75","1.27M","0.57%"
"07/10/2024","1.74","1.65","1.74","1.65","1.82M","5.45%"
"04/10/2024","1.65","1.65","1.65","1.65","157.56K","0.00%"
"03/10/2024","1.65","1.70","1.65","1.55","2.20M","-2.94%"
"02/10/2024","1.70","1.70","1.70","1.70","130.78K","0.00%"
"30/09/2024","1.70","1.55","1.70","1.70","652.32K","9.68%"
"27/09/2024","1.55","1.55","1.55","1.55","107.88K","0.00%"
"26/09/2024","1.55","1.50","1.55","1.55","686.19K","3.33%"
"25/09/2024","1.50","1.50","1.50","1.50","85.52K","0.00%"
"24/09/2024","1.50","1.48","1.50","1.48","679.94K","1.35%"
"23/09/2024","1.48","1.42","1.48","1.48","412.03K","4.23%"
"20/09/2024","1.42","1.40","1.42","1.42","805.91K","1.43%"
"19/09/2024","1.40","1.36","1.40","1.40","1.02M","2.94%"
"18/09/2024","1.36","1.36","1.36","1.36","14.67K","0.00%"
"17/09/2024","1.36","1.24","1.36","1.25","587.95K","9.68%"
"13/09/2024","1.24","1.33","1.24","1.24","325.84K","-6.77%"
"12/09/2024","1.33","1.33","1.33","1.33","309.47K","0.00%"
"11/09/2024","1.33","1.33","1.33","1.33","179.65K","0.00%"
"10/09/2024","1.33","1.33","1.33","1.33","75.59K","0.00%"
"09/09/2024","1.33","1.29","1.33","1.30","987.01K","3.10%"
"06/09/2024","1.29","1.29","1.29","1.29","137.00K","0.00%"
"05/09/2024","1.29","1.29","1.30","1.29","619.72K","0.00%"
"04/09/2024","1.29","1.22","1.29","1.27","1.32M","5.74%"
"03/09/2024","1.22","1.28","1.27","1.22","798.20K","-4.69%"
"02/09/2024","1.28","1.28","1.28","1.28","246.95K","0.00%"
"30/08/2024","1.28","1.28","1.28","1.28","31.20K","0.00%"
"29/08/2024","1.28","1.27","1.28","1.28","367.38K","0.79%"
"28/08/2024","1.27","1.25","1.27","1.27","687.06K","1.60%"
"27/08/2024","1.25","1.18","1.25","1.24","1.19M","5.93%"
"26/08/2024","1.18","1.18","1.18","1.18","69.78K","0.00%"
"23/08/2024","1.18","1.18","1.18","1.18","111.16K","0.00%"
"22/08/2024","1.18","1.18","1.18","1.18","50.86K","0.00%"
"21/08/2024","1.18","1.18","1.18","1.18","13.30K","0.00%"
"20/08/2024","1.18","1.21","1.18","1.18","364.92K","-2.48%"
"19/08/2024","1.21","1.21","1.21","1.21","8.80K","0.00%"
"16/08/2024","1.21","1.21","1.21","1.21","318.72K","0.00%"
"15/08/2024","1.21","1.30","1.21","1.21","566.24K","-6.92%"
"14/08/2024","1.30","1.25","1.30","1.30","348.20K","4.00%"
"13/08/2024","1.25","1.20","1.25","1.25","278.15K","4.17%"
"12/08/2024","1.20","1.26","1.21","1.20","805.37K","-4.76%"
"09/08/2024","1.26","1.30","1.26","1.26","363.82K","-3.08%"
"08/08/2024","1.30","1.30","1.36","1.30","430.88K","0.00%"
"07/08/2024","1.30","1.30","1.30","1.30","14.17K","0.00%"
"06/08/2024","1.30","1.26","1.30","1.30","280.48K","3.17%"
"05/08/2024","1.26","1.35","1.26","1.26","614.28K","-6.67%"
"02/08/2024","1.35","1.47","1.35","1.35","348.43K","-8.16%"
"01/08/2024","1.47","1.47","1.47","1.33","40.05K","0.00%"
"31/07/2024","1.47","1.42","1.48","1.28","1.46M","3.52%"
"30/07/2024","1.42","1.43","1.45","1.35","652.04K","-0.70%"
"29/07/2024","1.43","1.35","1.43","1.40","623.74K","5.93%"
"26/07/2024","1.35","1.35","1.35","1.35","138.28K","0.00%"
"25/07/2024","1.35","1.35","1.40","1.24","123.77K","0.00%"
"24/07/2024","1.35","1.35","1.35","1.35","370.49K","0.00%"
"23/07/2024","1.35","1.35","1.30","1.24","47.70K","0.00%"
"22/07/2024","1.35","1.35","1.44","1.26","98.40K","0.00%"
"19/07/2024","1.35","1.40","1.44","1.35","1.05M","-3.57%"
"18/07/2024","1.40","1.45","1.47","1.40","1.67M","-3.45%"
"17/07/2024","1.45","1.39","1.45","1.41","695.92K","4.32%"
"16/07/2024","1.39","1.29","1.39","1.25","5.01M","7.75%"
"15/07/2024","1.29","1.19","1.29","1.29","534.50K","4.03%"
"12/07/2024","1.24","1.24","1.24","1.24","254.44K","0.00%"
"11/07/2024","1.24","1.30","1.30","1.24","1.36M","-4.62%"
"10/07/2024","1.30","1.27","1.30","1.30","358.76K","2.36%"
"09/07/2024","1.27","1.30","1.28","1.18","1.37M","-2.31%"
"08/07/2024","1.30","1.25","1.30","1.13","5.91M","4.00%"
